year,predicted_emission
2025,51018.74214996898
2026,48895.940231086686
2027,46773.13831220474
2028,44650.33639332245
2029,42527.53447444015
2030,40404.73255555786
2031,38281.93063667556
2032,36159.12871779327
2033,34036.32679891097
2034,31913.52488002868
2035,29790.722961146384
2036,27667.92104226409
2037,25545.119123382145
2038,23422.31720449985
2039,21299.515285617555
2040,19176.71336673526
2041,17053.911447852966
2042,14931.109528970672
2043,12808.307610088377
2044,10685.505691206083
2045,8562.703772323788
2046,6439.90185344161
2047,4317.099934559519
2048,2194.2980156769627
2049,533.2569994975347
2050,0.0
