year,cell_tower_energy,cell_tower_radio,cell_tower_cooling,cell_tower_backup,cell_tower_misc,data_center_energy,data_center_it,data_center_cooling,data_center_backup,data_center_misc,month_num,predicted_emission
2025,6179.3251666666665,2477.3335,1862.7835000000002,462.7998333333333,454.61925,11059.565750000002,6055.071833333334,3915.146166666667,841.3629166666666,823.6659166666667,6.5,4574.130366247739
2026,6117.531915,2452.5601650000003,1844.155665,458.17183499999993,450.0730575,10948.970092500002,5994.5211150000005,3875.9947049999996,832.9492875,815.4292575000001,6.5,4331.613266801415
2027,6055.738663333333,2427.78683,1825.52783,453.54383666666666,445.526865,10838.374435000002,5933.9703966666675,3836.8432433333332,824.5356583333332,807.1925983333334,6.5,4307.131663129952
2028,5993.945411666667,2403.013495,1806.899995,448.9158383333333,440.9806725,10727.778777500002,5873.419678333335,3797.6917816666664,816.1220291666665,798.9559391666667,6.5,4508.900972025478
2029,5932.152160000001,2378.2401600000003,1788.2721599999998,444.28783999999996,436.43448000000006,10617.183120000002,5812.868960000001,3758.5403199999996,807.7083999999999,790.7192799999999,6.5,4528.17928110306
2030,5870.358908333333,2353.466825,1769.644325,439.65984166666664,431.8882875,10506.587462500001,5752.318241666668,3719.3888583333332,799.2947708333332,782.4826208333334,6.5,4295.58989965181
2031,5808.565656666666,2328.69349,1751.01649,435.03184333333337,427.342095,10395.991805000001,5691.767523333333,3680.237396666666,790.8811416666664,774.2459616666666,6.5,4261.323324929582
2032,5746.772405,2303.920155,1732.388655,430.403845,422.7959025,10285.396147500001,5631.216805000001,3641.0859349999996,782.4675124999999,766.0093025,6.5,4251.484581470694
2033,5684.979153333334,2279.1468200000004,1713.7608200000002,425.77584666666667,418.24971000000005,10174.800490000001,5570.666086666668,3601.9344733333332,774.0538833333334,757.7726433333333,6.5,4245.180206674876
2034,5623.185901666667,2254.373485,1695.132985,421.14784833333334,413.70351750000003,10064.204832500001,5510.115368333335,3562.7830116666664,765.6402541666666,749.5359841666667,6.5,4223.723122710594
2035,5561.392649999999,2229.60015,1676.50515,416.51984999999996,409.15732499999996,9953.609175000001,5449.564650000001,3523.63155,757.2266249999999,741.2993250000001,6.5,4223.723122710594
2036,5499.599398333335,2204.8268150000004,1657.877315,411.8918516666666,404.6111325,9843.013517500001,5389.013931666667,3484.4800883333332,748.8129958333333,733.0626658333334,6.5,4234.254287185833
2037,5437.806146666667,2180.05348,1639.2494799999997,407.2638533333333,400.06494000000004,9732.417860000001,5328.463213333334,3445.328626666667,740.3993666666667,724.8260066666667,6.5,4234.254287185833
2038,5376.012895,2155.280145,1620.621645,402.635855,395.5187475,9621.822202500001,5267.9124950000005,3406.1771649999996,731.9857374999998,716.5893474999999,6.5,4208.491761399366
2039,5314.219643333333,2130.5068100000003,1601.99381,398.00785666666667,390.972555,9511.226545000001,5207.3617766666675,3367.0257033333332,723.5721083333333,708.3526883333334,6.5,4042.2479484613273
2040,5252.426391666666,2105.733475,1583.365975,393.3798583333333,386.42636250000004,9400.630887500001,5146.811058333334,3327.8742416666664,715.1584791666666,700.1160291666666,6.5,3783.17979047607
2041,5190.63314,2080.96014,1564.7381400000002,388.75186,381.8801700000001,9290.035230000001,5086.260340000001,3288.7227799999996,706.7448499999999,691.87937,6.5,3773.9854972472676
2042,5128.839888333333,2056.1868050000003,1546.110305,384.12386166666664,377.3339775,9179.439572500001,5025.709621666667,3249.5713183333332,698.3312208333332,683.6427108333334,6.5,3759.1001689794352
2043,5067.046636666667,2031.4134700000004,1527.4824700000001,379.4958633333333,372.78778500000004,9068.843915000001,4965.158903333335,3210.419856666667,689.9175916666667,675.4060516666667,6.5,3740.608774791976
2044,5005.253385,2006.6401350000003,1508.8546350000004,374.867865,368.2415925,8958.248257500001,4904.608185000001,3171.2683950000005,681.5039625,667.1693925000001,6.5,3730.9087784196777
2045,4943.460133333334,1981.8668000000005,1490.2268000000001,370.2398666666666,363.69540000000006,8847.652600000001,4844.057466666668,3132.1169333333332,673.0903333333333,658.9327333333334,6.5,3730.9087784196777
2046,4881.666881666667,1957.0934650000002,1471.5989650000001,365.61186833333335,359.14920750000005,8737.056942500001,4783.506748333334,3092.9654716666664,664.6767041666666,650.6960741666667,6.5,3520.684262996263
2047,4819.87363,1932.3201300000003,1452.9711300000001,360.98386999999997,354.60301499999997,8626.461285000001,4722.956030000001,3053.81401,656.263075,642.459415,6.5,3422.3898673545295
2048,4758.080378333333,1907.5467950000002,1434.343295,356.35587166666664,350.0568225,8515.865627500001,4662.405311666667,3014.6625483333332,647.8494458333333,634.2227558333334,6.5,3422.3898673545295
2049,4696.287126666667,1882.7734600000001,1415.7154600000001,351.7278733333333,345.51063000000005,8405.269970000001,4601.854593333334,2975.511086666667,639.4358166666666,625.9860966666668,6.5,3424.632009149438
2050,4634.493875,1858.0001249999998,1397.0876250000001,347.09987500000005,340.96443750000003,8294.674312500001,4541.3038750000005,2936.3596249999996,631.0221875,617.7494375,6.5,3424.632009149438
